instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 64;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.00136933  Result=0.00136933  Best=0.00136933  Seed=C0A9577A  ResultHash=24EF  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.00135252  Result=0.00135252  Best=0.00135252  Seed=C0A957DE  ResultHash=7DBE  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.00133944  Result=0.00133944  Best=0.00133944  Seed=C0A95842  ResultHash=8896  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.00132418  Result=0.00132418  Best=0.00132418  Seed=C0A958A6  ResultHash=FBA3  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.00132418  Result=0.00134754  Best=0.00132418  Seed=C0A9590A  ResultHash=2BAB  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.00131881  Result=0.00131881  Best=0.00131881  Seed=C0A9596E  ResultHash=9655  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.00131881  Result=0.00133693  Best=0.00131881  Seed=C0A959D2  ResultHash=AC2D  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.00131881  Result=0.00133318  Best=0.00131881  Seed=C0A95A36  ResultHash=8ECF  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.00130713  Result=0.00130713  Best=0.00130713  Seed=C0A95A9A  ResultHash=1D6F  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.00130713  Result=0.00132966  Best=0.00130713  Seed=C0A95AFE  ResultHash=377F  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.00130713  Result=0.00133049  Best=0.00130713  Seed=C0A95B62  ResultHash=8344  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.00130713  Result=0.00132418  Best=0.00130713  Seed=C0A95BC6  ResultHash=CC7C  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.00129497  Result=0.00129497  Best=0.00129497  Seed=C0A95C2A  ResultHash=7CD8  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00129497  Result=0.00131226  Best=0.00129497  Seed=C0A95C8E  ResultHash=4748  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00129497  Result=0.00131518  Best=0.00129497  Seed=C0A95CF2  ResultHash=9FD6  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00129497  Result=0.00130236  Best=0.00129497  Seed=C0A95D56  ResultHash=9D9B  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.00128913  Result=0.00128913  Best=0.00128913  Seed=C0A95DBA  ResultHash=9975  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.00128913  Result=0.00129002  Best=0.00128913  Seed=C0A95E1E  ResultHash=4A96  ProgramHash=C47F
